time,distance,spot,cycle,rgt,dh_fit_dy,pflags,h_sigma,w_surface_window_final,gt,n_fit_photons,h_mean,dh_fit_dx,rms_misfit,segment_id,geometry
2022-03-04 02:48:03.783102720,12252849.251080032,4,14,1097,0.0,0,0.024609558432101906,3.0,40,43,27.324230344073687,0.003993977719583553,0.16024233060611365,611716,POINT (-148.5956925976744 70.0922509555261)
2022-03-04 02:48:03.783525120,12255420.94063515,5,14,1097,0.0,0,0.010635446181545341,3.0,50,218,31.797213655516913,0.014939054288396572,0.15691100615564038,611845,POINT (-148.68635132909412 70.07286959333133)
2022-03-04 02:48:03.783731456,12252969.329612002,6,14,1097,0.0,0,0.023364290410915055,3.0,60,40,27.870905682889376,-0.003065464728937091,0.14510087050903575,611722,POINT (-148.680759927976 70.09477493966236)
2022-03-04 02:48:03.784087296,12255310.861999188,3,14,1097,0.0,0,0.012356898101350116,3.0,30,167,30.06405267862458,0.006099333530419072,0.1595974451678349,611839,POINT (-148.60136438659086 70.07025619734223)
2022-03-04 02:48:03.784507904,12252859.264168343,4,14,1097,0.0,0,0.02596058583386072,3.0,40,44,27.362756734899772,0.00409782687927625,0.16944934249967822,611717,POINT (-148.59572437672543 70.0921618581418)
2022-03-04 02:48:03.784927744,12255430.94063515,5,14,1097,0.0,0,0.010540602965169548,3.0,50,210,31.918700140934323,0.00858304055450165,0.15273334460055374,611845,POINT (-148.68638368252977 70.07278064555551)
2022-03-04 02:48:03.785150720,12252979.342701156,6,14,1097,0.0,0,0.02089427572646745,3.0,60,52,27.895237733811136,0.0055295391702205356,0.15065921979458338,611723,POINT (-148.68079204407374 70.09468586290268)
2022-03-04 02:48:03.785506304,12255320.87510483,3,14,1097,0.0,0,0.011313936835885897,3.0,30,186,30.09546617468493,0.0012949652687570948,0.1542228188224723,611840,POINT (-148.60139718432464 70.07016714435218)
2022-03-04 02:48:03.785912576,12252869.264168343,4,14,1097,0.0,0,0.0199511623395676,3.0,40,46,27.435343416108758,0.007551449636592331,0.1347067148945856,611717,POINT (-148.59575627124667 70.09207288391819)
2022-03-04 02:48:03.786330112,12255440.953741638,5,14,1097,0.0,0,0.009218890620676877,3.0,50,200,31.952455218920385,-0.0016282106075564506,0.1303096286516487,611846,POINT (-148.6864162115034 70.07269158686941)
2022-03-04 02:48:03.786567424,12252989.342701156,6,14,1097,0.0,0,0.018794795484349917,3.0,60,52,27.974388960410824,0.006362003170613218,0.13535994361215467,611723,POINT (-148.680824128645 70.094596902004)
2022-03-04 02:48:03.786919936,12255330.87510483,3,14,1097,0.0,0,0.01133043337119824,3.0,30,180,30.085519903285732,-0.0020206617330973337,0.15171181330753156,611840,POINT (-148.60142995804142 70.07007820874365)
2022-03-04 02:48:03.787319552,12252879.277256792,4,14,1097,0.0,0,0.013453257220014399,3.0,40,44,27.465929469618512,-0.0014848623202833545,0.08862732770875274,611718,POINT (-148.5957883908322 70.09198380106781)
2022-03-04 02:48:03.787732224,12255450.953741638,5,14,1097,0.0,0,0.008999530374160476,3.0,50,200,31.955485226502873,0.003964635488187424,0.12722928856222387,611846,POINT (-148.6864488088333 70.07260264933356)
